trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.5, 'e': 0.25157855305975646}",25,13,-3.436176790907262,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.2490753046316682}",25,0,-29.25766655509842,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,6,-34.33809275505845,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
141,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,14,9.308030363111289,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.24171401689703648}",20,3,14.339606702166765,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23930892224375452}",20,6,13.192644088819911,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.2369277586821218}",25,0,-15.787422069576998,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.23457028809379768}",20,0,-42.92945452642658,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
146,False,"{'a': 0.5, 'e': 0.2322362747297588}",25,4,-53.52569319614855,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.22992548518672382}",25,8,9.379280210042445,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.2276376883838127}",25,10,23.79817182660844,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22537265553943875}",20,11,-24.925788691999916,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.5, 'e': 0.22313016014842985}",30,20,-2.1929107848419678,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.2209099779593782}",25,0,19.497508160749415,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.21871188695221477}",25,13,18.67583023872619,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21653566731600704}",20,0,16.965236252823924,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.21438110142697797}",20,10,16.076290781430792,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21224797382674304}",20,15,2.0896996851507477,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,3,3.776488211989438,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20804518235702046}",20,0,35.90117966120465,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20597509820488344}",20,3,-17.26611993834579,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20392561173421342}",20,0,-6.075426132963413,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.2018965179946554}",30,15,-46.854109908281444,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,15,9.615391321050028,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19789869908361465}",20,4,24.567355051151424,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19592957412690934}",20,13,9.458424308447231,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19398004229089186}",20,1,30.91385913794125,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19204990862075408}",25,15,0.30214176453818986,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.1901389801015205}",20,8,8.87932524694022,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.18824706563874677}",30,0,6.951584099392515,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.18637397603940997}",20,0,14.676982756722802,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.18451952399298926}",20,0,5.354241478952968,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.18268352405273464}",20,0,0.9304148889297847,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.18086579261712207}",20,12,12.737438935724295,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17906614791149322}",30,20,22.74378477911724,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17728440996987782}",25,0,11.058547166238528,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.1755204006169969}",25,2,22.957313861485854,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.1737739434504451}",20,6,1.2020653658252782,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.1720448638230505}",20,9,3.9325720306743976,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.17033298882540943}",20,3,20.892724684808236,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.16863814726859552}",25,3,6.325354198269967,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1669601696670407}",20,12,18.24518622471101,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16529888822158653}",20,6,-17.549805314942045,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
181,False,"{'a': 0.5, 'e': 0.16365413680270405}",25,11,12.686771185597483,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16202575093388075}",25,0,24.848614630299753,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
183,False,"{'a': 0.5, 'e': 0.16041356777517277}",30,23,13.137223209839977,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.15881742610692068}",20,11,15.478634499056767,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.1572371663136276}",25,20,11.622531897794657,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.1556726303679973}",20,14,0.7030189424142328,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.1541236618151314}",20,7,-32.722411352822405,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
188,False,"{'a': 0.5, 'e': 0.15259010575688386}",20,0,31.002435988620903,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
189,False,"{'a': 0.5, 'e': 0.1510718088363708}",25,0,23.30563832353297,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
190,False,"{'a': 0.5, 'e': 0.14956861922263504}",25,19,10.67707506587292,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.14808038659546244}",30,19,-20.069239248817205,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
192,False,"{'a': 0.5, 'e': 0.14660696213035015}",25,16,13.666643076388304,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.14514819848362376}",25,10,23.3379808702983,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.14370394977770293}",30,0,33.86928214742298,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.1422740715865136}",20,8,8.895767737970207,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.140858420921045}",20,10,6.929156175697198,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.13945685621505094}",25,0,19.95100734037788,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
198,False,"{'a': 0.5, 'e': 0.13806923731089282}",20,6,0.5672516528134648,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.13669542544552385}",25,18,-10.251979349855413,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,8,-3.3686006002554727,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.13398867466880493}",25,17,3.926370331673483,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.13265546508012172}",30,7,42.179073028833535,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.13133552114849303}",20,0,-12.177305513879128,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
204,False,"{'a': 0.5, 'e': 0.1300287108784259}",25,8,27.898381594759343,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.12873490358780423}",20,8,20.517441394488806,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.12745396989482075}",25,8,-13.099917968265256,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
207,False,"{'a': 0.5, 'e': 0.12618578170503877}",35,19,20.799029015800066,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.12493021219858241}",20,4,23.278312802759675,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.12368713581745483}",20,0,31.15676203349544,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
210,False,"{'a': 0.5, 'e': 0.12245642825298189}",20,9,4.906294713766803,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.12123796643338168}",25,7,29.406299638841922,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.12003162851145673}",20,16,7.711233790244011,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.11883729385240964}",20,0,-30.390349390385097,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
214,False,"{'a': 0.5, 'e': 0.11765484302177918}",25,15,4.979287770462372,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.11648415777349697}",30,20,17.329857541162262,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.11532512103806251}",25,18,1.7629992777469512,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.11417761691083649}",25,5,31.16695970208237,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.11304153064044985}",25,20,10.469519263195433,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.11191674861732889}",20,11,13.23343978554524,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.11080315836233387}",20,2,-21.084952553149925,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
221,False,"{'a': 0.5, 'e': 0.10970064851551141}",20,11,14.794309114942303,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.10860910882495797}",30,16,24.800410507051186,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.10752843013579495}",20,13,12.101999653995545,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.1064585043792528}",20,10,19.657571279375556,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.10539922456186433}",25,17,18.243697500251706,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.104350484754765}",30,19,22.97248484521652,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.1033121800831002}",30,13,26.994015714341018,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.10228420671553744}",20,4,28.644936352445573,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.10126646185388341}",20,11,17.33187833799272,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.1002588437228037}",25,8,19.634366484613743,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.09926125155964564}",30,16,17.904300164026992,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
